Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T00:11:41:509,101050.797,-0.151,49.040,25.610
0000-00-00T00:11:41:581,101051.344,-0.197,49.040,25.610
0000-00-00T00:11:41:654,101051.023,-0.170,48.950,25.620
0000-00-00T00:11:41:726,101051.102,-0.176,48.950,25.630
0000-00-00T00:11:41:798,101050.688,-0.142,48.890,25.610
0000-00-00T00:11:42:000,101051.172,-0.182,48.870,25.610
0000-00-00T00:11:42:073,101050.680,-0.141,48.830,25.610
0000-00-00T00:11:42:148,101050.953,-0.164,48.790,25.620
0000-00-00T00:11:42:220,101050.445,-0.122,48.730,25.610
0000-00-00T00:11:42:292,101051.141,-0.180,48.740,25.620
0000-00-00T00:11:42:365,101050.375,-0.116,48.690,25.620
0000-00-00T00:11:42:437,101050.227,-0.104,48.650,25.610
0000-00-00T00:11:42:510,101050.461,-0.124,48.630,25.610
0000-00-00T00:11:42:582,101050.086,-0.092,48.660,25.620
0000-00-00T00:11:42:654,101050.523,-0.129,48.640,25.610
0000-00-00T00:11:42:727,101050.375,-0.116,48.620,25.630
0000-00-00T00:11:42:802,101050.672,-0.141,48.620,25.620
0000-00-00T00:11:42:874,101050.148,-0.097,48.630,25.610
0000-00-00T00:11:42:946,101050.273,-0.108,48.640,25.590
0000-00-00T00:11:43:000,101048.430,0.046,48.640,25.620
0000-00-00T00:11:43:073,101048.359,0.052,48.630,25.610
0000-00-00T00:11:43:145,101049.570,-0.049,48.660,25.590
0000-00-00T00:11:43:218,101049.758,-0.064,48.640,25.620
0000-00-00T00:11:43:290,101050.344,-0.113,48.680,25.620
0000-00-00T00:11:43:362,101050.445,-0.122,48.640,25.630
0000-00-00T00:11:43:437,101050.031,-0.087,48.680,25.590
0000-00-00T00:11:43:510,101049.820,-0.069,48.640,25.620
0000-00-00T00:11:43:582,101049.531,-0.045,48.640,25.620
0000-00-00T00:11:43:655,101049.484,-0.042,48.670,25.630
0000-00-00T00:11:43:727,101048.672,0.027,48.660,25.610
0000-00-00T00:11:43:799,101049.102,-0.010,48.690,25.590
0000-00-00T00:11:43:872,101049.922,-0.078,48.690,25.620
0000-00-00T00:11:43:944,101050.617,-0.136,48.680,25.620
0000-00-00T00:11:44:000,101050.398,-0.118,48.690,25.620
0000-00-00T00:11:44:075,101050.773,-0.149,48.680,25.630
0000-00-00T00:11:44:148,101050.406,-0.119,48.690,25.630
0000-00-00T00:11:44:220,101051.203,-0.185,48.800,25.630
0000-00-00T00:11:44:292,101051.062,-0.173,48.740,25.630
0000-00-00T00:11:44:365,101051.227,-0.187,48.760,25.650
0000-00-00T00:11:44:437,101050.164,-0.099,48.850,25.660
0000-00-00T00:11:44:510,101048.859,0.011,48.840,25.650
0000-00-00T00:11:44:582,101047.852,0.095,48.920,25.630
0000-00-00T00:11:44:654,101048.914,0.006,48.990,25.660
0000-00-00T00:11:44:729,101048.242,0.062,49.060,25.660
0000-00-00T00:11:44:802,101049.117,-0.011,49.160,25.630
0000-00-00T00:11:44:874,101049.289,-0.025,49.250,25.620
0000-00-00T00:11:45:000,101050.094,-0.093,49.340,25.650
0000-00-00T00:11:45:072,101049.500,-0.043,49.430,25.660
0000-00-00T00:11:45:145,101049.500,-0.043,49.510,25.650
0000-00-00T00:11:45:217,101049.398,-0.034,49.610,25.650
0000-00-00T00:11:45:289,101050.547,-0.131,49.720,25.660
0000-00-00T00:11:45:362,101050.047,-0.088,49.780,25.650
0000-00-00T00:11:45:437,101050.789,-0.150,49.870,25.660
0000-00-00T00:11:45:509,101051.273,-0.191,49.920,25.660
0000-00-00T00:11:45:581,101050.602,-0.135,50.030,25.650
0000-00-00T00:11:45:654,101051.688,-0.225,50.100,25.650
0000-00-00T00:11:45:732,101051.781,-0.233,50.220,25.650
0000-00-00T00:11:45:805,101051.094,-0.176,50.350,25.650
0000-00-00T00:11:45:877,101051.000,-0.168,50.390,25.650
0000-00-00T00:11:45:949,101051.203,-0.185,50.460,25.650
0000-00-00T00:11:46:000,101051.305,-0.194,50.540,25.650
0000-00-00T00:11:46:075,101050.922,-0.162,50.630,25.650
0000-00-00T00:11:46:148,101050.359,-0.115,50.690,25.670
0000-00-00T00:11:46:220,101049.992,-0.084,50.780,25.660
0000-00-00T00:11:46:292,101050.289,-0.109,50.810,25.660
0000-00-00T00:11:46:365,101050.180,-0.100,50.920,25.650
0000-00-00T00:11:46:437,101050.250,-0.106,50.950,25.690
0000-00-00T00:11:46:509,101049.836,-0.070,51.070,25.660
0000-00-00T00:11:46:582,101049.984,-0.083,51.130,25.650
0000-00-00T00:11:46:654,101049.367,-0.031,51.170,25.650
0000-00-00T00:11:46:729,101049.977,-0.082,51.300,25.660
0000-00-00T00:11:46:801,101050.258,-0.106,51.330,25.670
0000-00-00T00:11:46:874,101050.742,-0.147,51.460,25.670
0000-00-00T00:11:46:946,101050.047,-0.088,51.530,25.660
0000-00-00T00:11:47:000,101050.609,-0.136,51.590,25.660
0000-00-00T00:11:47:073,101050.359,-0.115,51.710,25.670
0000-00-00T00:11:47:145,101049.906,-0.077,51.760,25.660
0000-00-00T00:11:47:217,101050.898,-0.160,51.810,25.660
0000-00-00T00:11:47:290,101051.328,-0.196,51.870,25.690
0000-00-00T00:11:47:365,101050.617,-0.136,51.920,25.670
0000-00-00T00:11:47:437,101051.148,-0.180,52.000,25.660
0000-00-00T00:11:47:509,101052.227,-0.271,52.040,25.690
0000-00-00T00:11:47:582,101052.547,-0.297,52.100,25.660
0000-00-00T00:11:47:654,101051.695,-0.226,52.140,25.660
0000-00-00T00:11:47:727,101051.789,-0.234,52.160,25.660
0000-00-00T00:11:47:799,101052.102,-0.259,52.200,25.660
0000-00-00T00:11:47:871,101052.344,-0.281,52.240,25.670
0000-00-00T00:11:47:944,101052.273,-0.275,52.280,25.670
0000-00-00T00:11:48:000,101052.391,-0.285,52.300,25.670
0000-00-00T00:11:48:073,101052.547,-0.297,52.360,25.660
0000-00-00T00:11:48:145,101052.664,-0.307,52.400,25.660
0000-00-00T00:11:48:218,101052.539,-0.297,52.440,25.670
0000-00-00T00:11:48:290,101052.477,-0.292,52.470,25.650
0000-00-00T00:11:48:362,101051.242,-0.188,52.480,25.660
0000-00-00T00:11:48:434,101051.047,-0.172,52.570,25.670
